storey,wall_name,x1,y1,x2,y2,length_m
Ground Floor,WAL-I-005,26.3974,-24.2535,28.6823,-22.129,3.12
Ground Floor,WAL-I-005,28.6143,-22.0557,26.3974,-24.2535,3.1216
Ground Floor,WAL-I-005,26.3293,-24.1802,26.3974,-24.2535,0.1
First Floor,WAL-I-038,33.1007,-23.2096,33.174,-23.1415,0.1
First Floor,WAL-I-038,32.0868,-22.1191,32.1601,-22.051,0.1
First Floor,WAL-I-038,33.1007,-23.2096,32.0868,-22.1191,1.489
First Floor,WAL-I-038,33.174,-23.1415,32.0868,-22.1191,1.4924
First Floor,WAL-I-038,33.174,-23.1415,32.1601,-22.051,1.489
First Floor,WAL-I-039,34.6576,-24.7372,34.5844,-24.8053,0.1
First Floor,WAL-I-039,34.5844,-24.8053,34.1758,-24.3658,0.6
First Floor,WAL-I-039,34.6576,-24.7372,34.2491,-24.2978,0.6
First Floor,WAL-I-039,34.1758,-24.3658,34.2491,-24.2978,0.1
First Floor,WAL-I-039,34.5844,-24.8053,34.2491,-24.2978,0.6083
First Floor,WAL-I-022,29.053,-27.1096,31.2647,-25.0532,3.02
First Floor,WAL-I-022,29.053,-27.1096,28.9509,-26.9998,0.15
First Floor,WAL-I-022,31.2647,-25.0532,31.1626,-24.9434,0.15
First Floor,WAL-I-022,28.9509,-26.9998,31.1626,-24.9434,3.02
First Floor,WAL-I-022,29.053,-27.1096,31.1626,-24.9434,3.0237
First Floor,WAL-I-023,31.8724,-25.8537,33.4448,-27.398,2.2039
First Floor,WAL-I-023,34.1258,-28.1303,34.6024,-28.643,0.7
First Floor,WAL-I-023,34.5292,-28.7111,34.6024,-28.643,0.1
First Floor,WAL-I-023,33.3716,-27.4661,33.4448,-27.398,0.1
First Floor,WAL-I-023,34.0525,-28.1984,34.6024,-28.643,0.7071
First Floor,WAL-I-023,31.8724,-25.8537,33.3716,-27.4661,2.2017
First Floor,WAL-I-023,31.2255,-25.1579,31.2988,-25.0898,0.1
First Floor,WAL-I-023,31.8724,-25.8537,31.9457,-25.7856,0.1
First Floor,WAL-I-023,31.9457,-25.7856,33.4448,-27.398,2.2017
First Floor,WAL-I-023,31.2255,-25.1579,31.3328,-25.1265,0.1118
First Floor,WAL-I-023,34.0525,-28.1984,34.5292,-28.7111,0.7
First Floor,WAL-I-023,31.2988,-25.0898,31.3328,-25.1265,0.05
First Floor,WAL-I-023,31.2596,-25.1946,31.3328,-25.1265,0.1
